koi_score,koi_fwm_stat_sig,koi_srho_err2,koi_dor_err2,koi_dor_err1,koi_incl,koi_prad_err1,koi_count,koi_dor,koi_dikco_mdec_err,koi_period_err1,koi_period_err2,koi_dikco_mra_err,koi_prad_err2,koi_dikco_msky_err,koi_max_sngle_ev,koi_prad,koi_dicco_mdec_err,koi_model_snr,koi_dicco_mra_err,koi_disposition
0.952,0.096,-0.0048,-5.9,5.9,85.45,0.2,4,11.98,0.58,0.0002003,-0.0002003,1.6,-0.13,0.93,4.1784496,1.31,0.63,17.1,1.5,CONFIRMED
0.994,0.048,-2.24097,-9.1,9.1,87.99,0.08,4,20.2,0.43,3.89e-05,-3.89e-05,0.3,-0.1,0.4,3.8379083,1.2,0.39,15.9,0.25,CONFIRMED
1.0,0.0,-0.20597,-5.7,5.7,87.56,1.53,1,12.29,0.069,7.71e-07,-7.71e-07,0.068,-0.65,0.069,35.58241,7.34,0.088,370.8,0.076,CONFIRMED
0.999,0.799,-0.24007,-10.4,10.4,89.26,0.38,1,31.0,0.21,9.761e-05,-9.761e-05,0.15,-0.16,0.21,6.2514634,2.32,0.22,32.1,0.14,CONFIRMED
1.0,0.0,-0.02721,-0.0454,0.0454,89.22,1.41,1,5.6364,0.069,1.58e-07,-1.58e-07,0.068,-1.42,0.068,43.135384,9.73,0.067,799.7,0.068,CONFIRMED
1.0,0.0,-2.21333,-22.0,22.0,89.66,1.82,1,77.9,0.071,3.73e-06,-3.73e-06,0.072,-0.92,0.074,73.60154,13.6,0.073,340.5,0.094,CANDIDATE
0.0,,-0.00489,-1.1,1.1,58.94,4.12,1,2.28,,0.0001023,-0.0001023,,-1.65,,4.5001316,17.47,,14.2,,FALSE POSITIVE
1.0,0.097,-0.80614,-1.2,1.2,89.94,0.44,1,22.57,0.13,1.648e-05,-1.648e-05,0.13,-0.26,0.13,7.610865,2.57,0.15,53.9,0.12,CONFIRMED
0.053,0.0,-0.00767,-0.604,0.604,88.54,3.64,1,10.988,0.067,3.762e-06,-3.762e-06,0.072,-2.41,0.069,76.945915,13.28,0.067,636.8,0.067,FALSE POSITIVE
1.0,0.081,-0.07427,-31.9,31.9,89.83,0.82,5,125.8,0.076,0.0002348,-0.0002348,0.073,-0.38,0.075,45.13809,8.9,0.074,138.8,0.074,CONFIRMED
0.95,0.567,-0.66683,-4.7,4.7,86.69,0.13,4,11.19,0.59,4.635e-05,-4.635e-05,1.1,-0.08,1.1,2.6950479,0.79,0.62,14.4,1.0,CONFIRMED
0.745,0.051,-0.09479,-5.8,5.8,89.83,1.11,5,77.04,0.069,3.207e-05,-3.207e-05,0.068,-0.52,0.068,88.82677,12.19,0.067,347.2,0.068,CONFIRMED
,,-0.42956,-17.9,17.9,89.38,0.2,5,44.2,,0.0002534,-0.0002534,,-0.07,,,1.91,,11.6,,CONFIRMED
0.0,0.0,-0.01364,-0.984,0.984,51.56,7.44,1,1.971,0.68,2.702e-06,-2.702e-06,1.3,-2.33,1.3,7.5703845,25.69,0.86,38.8,1.3,FALSE POSITIVE
0.0,0.0,-0.03858,-0.252,0.252,89.81,0.1,1,4.349,0.079,1.168e-05,-1.168e-05,0.075,-0.15,0.075,4.439786,1.7,0.074,48.5,0.076,FALSE POSITIVE
1.0,0.0,-0.09168,-0.412,0.412,85.25,3.09,1,6.203,0.068,1.13e-07,-1.13e-07,0.068,-1.33,0.068,62.03516,11.3,0.067,1009.3,0.067,CONFIRMED
1.0,0.282,-0.96665,-0.647,0.647,89.99,0.34,1,16.102,0.095,5.432e-06,-5.432e-06,0.089,-0.19,0.1,7.252221,2.5,0.095,70.6,0.092,CONFIRMED
1.0,0.722,-0.46716,-5.5,5.5,89.62,0.28,1,38.91,0.097,3.206e-05,-3.206e-05,0.079,-0.31,0.097,12.827003,3.41,0.094,78.5,0.075,CONFIRMED
1.0,0.058,-0.03843,-6.1,6.1,87.85,0.13,4,12.4,0.092,3.177e-06,-3.177e-06,0.092,-0.17,0.092,8.777286,2.03,0.097,71.6,0.086,CONFIRMED
0.0,0.0,-0.00576,-1.7,1.7,67.79,9.57,1,3.32,0.085,2.401e-06,-2.401e-06,0.081,-3.19,0.087,7.337525,30.26,0.09,64.9,0.08,FALSE POSITIVE
1.0,0.0,-0.49575,-2.3,2.3,89.86,0.47,3,33.12,0.14,5.202e-05,-5.202e-05,0.14,-0.28,0.18,7.871079,3.12,0.15,46.1,0.15,CONFIRMED
1.0,0.054,-0.25338,-3.7,3.7,86.1,0.08,4,7.78,0.57,1.07e-05,-1.07e-05,0.25,-0.05,0.25,5.743281,1.7,0.69,50.6,0.28,CONFIRMED
0.998,0.482,-0.03392,-3.0,3.0,80.97,0.43,3,6.05,0.2,4.829e-05,-4.829e-05,0.14,-0.24,0.19,4.4869766,2.76,0.25,28.5,0.18,CONFIRMED
1.0,0.0,-0.08925,-12.4,12.4,87.91,0.62,3,24.9,0.21,0.0001765,-0.0001765,0.13,-0.36,0.15,7.5526104,4.02,0.2,39.7,0.15,CONFIRMED
0.99,0.0,-0.00048,-0.218,0.218,89.41,0.9,1,11.699,0.07,1.5e-07,-1.5e-07,0.068,-0.48,0.07,162.61552,11.58,0.067,1996.7,0.067,CONFIRMED
1.0,0.13,-0.82854,-5.0,5.0,88.92,1.72,1,49.31,0.085,4.036e-05,-4.036e-05,0.089,-0.91,0.085,15.928789,7.61,0.086,76.8,0.095,CANDIDATE
1.0,0.097,-0.01477,-4.1,4.1,88.02,1.7,1,15.0,0.082,7.553e-06,-7.553e-06,0.096,-0.56,0.098,13.618479,5.52,0.073,113.2,0.083,CONFIRMED
1.0,0.01,-0.51692,-18.8,18.8,89.47,0.1,2,45.2,0.22,9.249e-05,-9.249e-05,0.19,-0.15,0.24,5.809559,1.8,0.2,27.5,0.21,CONFIRMED
0.995,0.029,-2.86966,-12.1,12.1,87.95,0.1,2,24.8,0.25,2.368e-05,-2.368e-05,0.26,-0.15,0.29,3.484774,1.82,0.27,17.9,0.23,CONFIRMED
1.0,0.024,-3.13735,-7.5,7.5,88.61,0.14,1,23.58,0.095,1.092e-05,-1.092e-05,0.097,-0.16,0.1,6.7459397,2.1,0.087,56.4,0.089,CONFIRMED
0.0,0.0,-0.04864,-0.655,0.655,89.63,5.28,1,78.037,0.073,3.484e-06,-3.484e-06,0.069,-2.27,0.074,456.11786,27.5,0.068,1300.0,0.067,FALSE POSITIVE
0.0,0.029,-0.0004,-0.242,0.242,19.01,5.79,1,1.354,0.072,1.485e-05,-1.485e-05,0.077,-3.14,0.073,14.098484,30.09,0.072,296.9,0.073,CANDIDATE
0.0,0.0,-0.00049,-0.888,0.888,53.12,3.11,1,1.868,0.92,3.896e-06,-3.896e-06,0.64,-1.04,0.92,14.434505,13.65,0.92,138.2,0.65,FALSE POSITIVE
