toi,toipfx,st_tmag,st_dist,st_disterr1,st_disterr2,st_pmdecerr2,st_pmdecerr1,tfopwg_disp
1260.01,1260,10.8116,73.5977,0.1604,-0.1604,-0.044,0.044,CP
1260.02,1260,10.8116,73.5977,0.1604,-0.1604,-0.044,0.044,CP
1260.03,1260,10.8116,73.5977,0.1604,-0.1604,-0.044,0.044,CP
1261.01,1261,10.6965,199.964,0.8515,-0.8515,-0.041,0.041,PC
1262.01,1262,9.5966,93.2276,0.18145,-0.18145,-0.037,0.037,PC
1263.01,1263,8.5325,46.5539,0.0783,-0.0783,-0.062,0.062,PC
1264.01,1264,10.634,141.755,0.5485,-0.5485,-0.052,0.052,PC
1265.01,1265,10.0274,341.079,2.414,-2.414,-0.037,0.037,KP
1266.01,1266,11.0402,36.0118,0.0295,-0.0295,-0.039,0.039,CP
1266.02,1266,11.0402,36.0118,0.0295,-0.0295,-0.039,0.039,CP
1267.01,1267,11.636,,,,,,KP
1268.01,1268,10.1495,109.557,0.5425,-0.5425,-0.065,0.065,CP
1269.01,1269,10.9897,172.138,0.693,-0.693,-0.056,0.056,CP
1269.02,1269,10.9897,172.138,0.693,-0.693,-0.056,0.056,PC
127.01,127,14.1266,140.225,0.86,-0.86,-0.064,0.064,CP
1270.01,1270,11.463,171.138,0.664,-0.664,-0.041,0.041,FP
1271.01,1271,7.4556,92.2589,0.2358,-0.2358,-0.038,0.038,KP
1272.01,1272,11.0244,137.572,0.402,-0.402,-0.03,0.03,CP
1273.01,1273,10.418,177.118,1.214,-1.214,-0.072,0.072,CP
1274.01,1274,11.8994,178.141,0.957,-0.957,-0.056,0.056,PC
1275.01,1275,10.5954,138.591,0.823,-0.823,-0.067,0.067,FA
1276.01,1276,12.5405,24.5209,0.03105,-0.03105,-0.09,0.09,FA
1277.01,1277,9.76775,100.772,0.2265,-0.2265,-0.042,0.042,FA
1277.02,1277,9.76775,100.772,0.2265,-0.2265,-0.042,0.042,PC
1278.01,1278,11.7819,75.5759,0.15495,-0.15495,-0.039,0.039,CP
1279.01,1279,9.99454,107.055,0.285,-0.285,-0.034,0.034,CP
128.01,128,7.9849,68.4727,0.119,-0.119,-0.046,0.046,CP
1280.01,1280,10.6355,92.4381,0.1706,-0.1706,-0.043,0.043,PC
1281.01,1281,9.6635,178.259,0.667,-0.667,-0.035,0.035,PC
1282.01,1282,11.4373,444.586,5.5075,-5.5075,-0.04,0.04,KP
1283.01,1283,9.7525,92.3831,0.48265,-0.48265,-0.148,0.148,KP
1284.01,1284,12.5313,110.246,0.224,-0.224,-0.033,0.033,FP
1285.01,1285,10.9313,41.9934,0.04955,-0.04955,-0.045,0.045,FP
1286.01,1286,10.1653,278.771,1.735,-1.735,-0.043,0.043,APC
1287.01,1287,8.593,92.7225,0.23245,-0.23245,-0.054,0.054,PC
1288.01,1288,9.93119,114.865,0.3215,-0.3215,-0.056,0.056,CP
1289.01,1289,12.9984,89.21544,,,-2.0,2.0,FP
129.01,129,9.9005,61.7856,0.0805,-0.0805,-0.029,0.029,CP
1290.01,1290,9.50898,144.166,0.435,-0.435,-0.048,0.048,KP
1291.01,1291,10.8722,428.123,4.5455,-4.5455,-0.052,0.052,PC
1292.01,1292,9.84566,190.403,4.476,-4.476,-0.301,0.301,FP
1293.01,1293,10.8605,239.983,1.52,-1.52,-0.052,0.052,PC
1294.01,1294,10.9458,332.648,2.286,-2.286,-0.045,0.045,CP
1295.01,1295,10.7973,388.227,4.4475,-4.4475,-0.058,0.058,CP
1296.01,1296,10.8041,323.265,2.821,-2.821,-0.046,0.046,CP
1297.01,1297,10.9873,283.32,,,-2.1,2.1,FP
1298.01,1298,10.9585,319.036,1.9895,-1.9895,-0.035,0.035,CP
1299.01,1299,10.451,,,,,,FP
